Geração,Total,Dentes Curtos,Dentes Longos
1,2,2,0
2,6,5,1
3,18,13,5
4,55,37,18
5,105,73,32
6,160,110,50
7,200,150,50
8,208,158,50
9,230,160,70
10,210,141,69
11,218,138,80
12,212,132,80
13,218,142,76
14,228,149,79
15,217,140,77
16,205,136,69
17,218,140,78
18,221,150,71
19,203,131,72
20,224,133,91
21,222,127,95
22,217,119,98
23,232,142,90
24,212,132,80
25,243,144,99
