Geração,Total,Cauda Curta,Cauda Longa
1,2,2,0
2,6,5,1
3,13,8,5
4,37,20,17
5,23,13,10
6,16,10,6
7,10,7,3
8,6,3,3
9,2,1,1
10,3,2,1
11,6,4,2
12,2,2,0
13,4,4,0
14,1,1,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
