Geração,Total
1,2
2,6
3,18
4,55
5,31
6,10
7,4
8,12
9,2
10,3
11,3
12,1
13,1
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
