Geração,Total,Cauda Curta,Cauda Longa
1,2,2,0
2,6,5,1
3,18,13,5
4,54,39,15
5,99,70,29
6,164,119,45
7,181,130,51
8,188,140,48
9,224,160,64
10,215,150,65
11,218,159,59
12,213,157,56
13,215,155,60
14,217,155,62
15,223,159,64
16,220,150,70
17,203,141,62
18,209,145,64
19,220,160,60
20,233,163,70
21,228,171,57
22,223,162,61
23,205,145,60
24,218,160,58
25,233,170,63
