Geração,Total,Dentes Curtos,Dentes Longos
1,2,2,0
2,6,5,1
3,18,13,5
4,54,37,17
5,34,19,15
6,26,4,22
7,24,1,23
8,46,2,44
9,55,1,54
10,43,1,42
11,58,0,58
12,52,0,52
13,45,0,45
14,57,0,57
15,49,1,48
16,67,0,67
17,53,0,53
18,72,0,72
19,49,0,49
20,52,0,52
21,64,0,64
22,67,0,67
23,76,0,76
24,53,0,53
25,51,0,51
