Geração,Total,Dentes Curtos,Dentes Longos
1,2,2,0
2,6,5,1
3,18,13,5
4,53,38,15
5,30,23,7
6,18,13,5
7,6,4,2
8,3,1,2
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
