Geração,Total,Brancos,Marrons
1,2,2,0
2,6,5,1
3,18,13,5
4,50,34,16
5,16,10,6
6,7,7,0
7,5,5,0
8,2,2,0
9,2,2,0
10,2,2,0
11,4,4,0
12,3,3,0
13,1,1,0
14,1,1,0
15,1,1,0
16,1,1,0
17,1,1,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
